,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,89,7lQ8MOhq6IN2w8EYcFNSUk,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Without Me,Eminem,The Eminem Show,0.00286,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,0.908,290320,0.669,7lQ8MOhq6IN2w8EYcFNSUk,0.0,7,0.237,-2.827,1,0.0738,112.238,4,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,audio_features,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,0.662,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
1,86,4xkOaSrkexMciUUogZKVTS,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Till I Collapse,Eminem,The Eminem Show,0.0622,https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS,0.548,297787,0.847,4xkOaSrkexMciUUogZKVTS,0.0,1,0.0816,-3.237,1,0.186,171.447,4,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS,audio_features,spotify:track:4xkOaSrkexMciUUogZKVTS,0.1,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
2,86,4woTEX1wYOTGDqNXuavlRC,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Superman,Eminem,The Eminem Show,0.0215,https://api.spotify.com/v1/audio-analysis/4woTEX1wYOTGDqNXuavlRC,0.802,350320,0.755,4woTEX1wYOTGDqNXuavlRC,0.0,4,0.295,-3.138,0,0.0564,130.027,4,https://api.spotify.com/v1/tracks/4woTEX1wYOTGDqNXuavlRC,audio_features,spotify:track:4woTEX1wYOTGDqNXuavlRC,0.58,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
3,79,3CpoeW0cZSDzIRv5z34F87,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Sing For The Moment,Eminem,The Eminem Show,0.0017,https://api.spotify.com/v1/audio-analysis/3CpoeW0cZSDzIRv5z34F87,0.668,339547,0.824,3CpoeW0cZSDzIRv5z34F87,3.05e-06,5,0.0426,-4.164,0,0.137,163.961,4,https://api.spotify.com/v1/tracks/3CpoeW0cZSDzIRv5z34F87,audio_features,spotify:track:3CpoeW0cZSDzIRv5z34F87,0.185,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
4,75,7BMO7O7ImjV8HNTH74Tshv,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Cleanin' Out My Closet,Eminem,The Eminem Show,0.0687,https://api.spotify.com/v1/audio-analysis/7BMO7O7ImjV8HNTH74Tshv,0.908,297840,0.758,7BMO7O7ImjV8HNTH74Tshv,0.0,9,0.0783,-4.753,0,0.174,148.015,4,https://api.spotify.com/v1/tracks/7BMO7O7ImjV8HNTH74Tshv,audio_features,spotify:track:7BMO7O7ImjV8HNTH74Tshv,0.87,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
5,73,0x60P5taxdI5pcGbqbap6S,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Business,Eminem,The Eminem Show,0.0325,https://api.spotify.com/v1/audio-analysis/0x60P5taxdI5pcGbqbap6S,0.901,251720,0.813,0x60P5taxdI5pcGbqbap6S,1.09e-05,7,0.144,-4.509,1,0.199,96.442,4,https://api.spotify.com/v1/tracks/0x60P5taxdI5pcGbqbap6S,audio_features,spotify:track:0x60P5taxdI5pcGbqbap6S,0.502,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
6,67,5QD28FqaM3jTfsqWwvRZwv,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Soldier,Eminem,The Eminem Show,0.0319,https://api.spotify.com/v1/audio-analysis/5QD28FqaM3jTfsqWwvRZwv,0.851,226213,0.92,5QD28FqaM3jTfsqWwvRZwv,0.000525,8,0.128,-2.989,1,0.201,94.516,4,https://api.spotify.com/v1/tracks/5QD28FqaM3jTfsqWwvRZwv,audio_features,spotify:track:5QD28FqaM3jTfsqWwvRZwv,0.545,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
7,66,15qrWkkYCfmtu1uRpGf48L,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,White America,Eminem,The Eminem Show,0.0103,https://api.spotify.com/v1/audio-analysis/15qrWkkYCfmtu1uRpGf48L,0.558,324547,0.615,15qrWkkYCfmtu1uRpGf48L,0.0,1,0.105,-5.641,1,0.229,76.673,4,https://api.spotify.com/v1/tracks/15qrWkkYCfmtu1uRpGf48L,audio_features,spotify:track:15qrWkkYCfmtu1uRpGf48L,0.16,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
8,66,6Db8IlZ7YY1pfIjJllejyH,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,Hailie's Song,Eminem,The Eminem Show,0.0168,https://api.spotify.com/v1/audio-analysis/6Db8IlZ7YY1pfIjJllejyH,0.787,320640,0.731,6Db8IlZ7YY1pfIjJllejyH,8.7e-05,7,0.0839,-3.295,1,0.156,80.98,4,https://api.spotify.com/v1/tracks/6Db8IlZ7YY1pfIjJllejyH,audio_features,spotify:track:6Db8IlZ7YY1pfIjJllejyH,0.511,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
9,64,3F14hbIqy1JKKLTb1mzdYV,7dGJo4pcD2V6oG8kP0tJRR,2cWBwpqMsDJC1ZUwz813lo,My Dad's Gone Crazy,Eminem,The Eminem Show,0.0986,https://api.spotify.com/v1/audio-analysis/3F14hbIqy1JKKLTb1mzdYV,0.73,267013,0.698,3F14hbIqy1JKKLTb1mzdYV,0.0,7,0.322,-5.089,1,0.508,176.146,4,https://api.spotify.com/v1/tracks/3F14hbIqy1JKKLTb1mzdYV,audio_features,spotify:track:3F14hbIqy1JKKLTb1mzdYV,0.711,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",88,2cWBwpqMsDJC1ZUwz813lo,[],87,2002-05-26
