,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,84,4osgfFTICMkcGbbigdsa53,2h93pZq0e7k5yf4dywlkpM,3RYdEXhGHojkTILUdtnRVJ,Novacane,Frank Ocean,Novacane,0.0584,https://api.spotify.com/v1/audio-analysis/4osgfFTICMkcGbbigdsa53,0.762,302347,0.508,4osgfFTICMkcGbbigdsa53,0.00126,3,0.16,-9.112,1,0.0919,93.51,4,https://api.spotify.com/v1/tracks/4osgfFTICMkcGbbigdsa53,audio_features,spotify:track:4osgfFTICMkcGbbigdsa53,0.37,2h93pZq0e7k5yf4dywlkpM,"['lgbtq+ hip hop', 'neo soul']",82,3RYdEXhGHojkTILUdtnRVJ,[],73,2011-01-01
1,69,3CgZCQyuyxHRMWB9BTwmni,2h93pZq0e7k5yf4dywlkpM,3TLaFWQDhV1g39Qwd5sPAm,Swim Good,Frank Ocean,Swim Good,0.00116,https://api.spotify.com/v1/audio-analysis/3CgZCQyuyxHRMWB9BTwmni,0.653,257187,0.668,3CgZCQyuyxHRMWB9BTwmni,0.00269,0,0.0731,-8.183,1,0.0881,160.048,4,https://api.spotify.com/v1/tracks/3CgZCQyuyxHRMWB9BTwmni,audio_features,spotify:track:3CgZCQyuyxHRMWB9BTwmni,0.711,2h93pZq0e7k5yf4dywlkpM,"['lgbtq+ hip hop', 'neo soul']",82,3TLaFWQDhV1g39Qwd5sPAm,[],58,2011-01-01
2,85,0YsGMHid6sFq5PcToe3JZE,73sIBHcqh3Z3NyqHKZ7FOL,2nkHPk6e7TgemWh07yFHxh,Les,Childish Gambino,Camp,0.00649,https://api.spotify.com/v1/audio-analysis/0YsGMHid6sFq5PcToe3JZE,0.541,317293,0.674,0YsGMHid6sFq5PcToe3JZE,9.76e-05,1,0.235,-7.04,0,0.0841,103.139,4,https://api.spotify.com/v1/tracks/0YsGMHid6sFq5PcToe3JZE,audio_features,spotify:track:0YsGMHid6sFq5PcToe3JZE,0.123,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'rap']",77,2nkHPk6e7TgemWh07yFHxh,[],80,2011-11-15
3,83,0zo4aX57COch7Wh3NRImTM,73sIBHcqh3Z3NyqHKZ7FOL,2nkHPk6e7TgemWh07yFHxh,Heartbeat,Childish Gambino,Camp,0.00369,https://api.spotify.com/v1/audio-analysis/0zo4aX57COch7Wh3NRImTM,0.8,269840,0.545,0zo4aX57COch7Wh3NRImTM,0.000461,1,0.0445,-7.002,0,0.127,119.954,4,https://api.spotify.com/v1/tracks/0zo4aX57COch7Wh3NRImTM,audio_features,spotify:track:0zo4aX57COch7Wh3NRImTM,0.294,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'rap']",77,2nkHPk6e7TgemWh07yFHxh,[],80,2011-11-15
4,74,25ypHCQpDX2nrDFly7eZLZ,73sIBHcqh3Z3NyqHKZ7FOL,2nkHPk6e7TgemWh07yFHxh,Bonfire,Childish Gambino,Camp,0.0594,https://api.spotify.com/v1/audio-analysis/25ypHCQpDX2nrDFly7eZLZ,0.506,192947,0.745,25ypHCQpDX2nrDFly7eZLZ,0.0,1,0.373,-6.041,1,0.332,161.798,4,https://api.spotify.com/v1/tracks/25ypHCQpDX2nrDFly7eZLZ,audio_features,spotify:track:25ypHCQpDX2nrDFly7eZLZ,0.284,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'rap']",77,2nkHPk6e7TgemWh07yFHxh,[],80,2011-11-15
5,60,42d65HLPpUBlMaKeaMt3FX,73sIBHcqh3Z3NyqHKZ7FOL,2nkHPk6e7TgemWh07yFHxh,Fire Fly,Childish Gambino,Camp,0.146,https://api.spotify.com/v1/audio-analysis/42d65HLPpUBlMaKeaMt3FX,0.67,203053,0.887,42d65HLPpUBlMaKeaMt3FX,0.0,11,0.271,-4.121,0,0.231,87.481,4,https://api.spotify.com/v1/tracks/42d65HLPpUBlMaKeaMt3FX,audio_features,spotify:track:42d65HLPpUBlMaKeaMt3FX,0.489,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'rap']",77,2nkHPk6e7TgemWh07yFHxh,[],80,2011-11-15
6,56,3KcCk69jf4cp7eGeWQMilE,73sIBHcqh3Z3NyqHKZ7FOL,2nkHPk6e7TgemWh07yFHxh,Sunrise,Childish Gambino,Camp,0.0109,https://api.spotify.com/v1/audio-analysis/3KcCk69jf4cp7eGeWQMilE,0.587,219840,0.694,3KcCk69jf4cp7eGeWQMilE,0.0,7,0.0709,-6.374,0,0.0389,79.977,4,https://api.spotify.com/v1/tracks/3KcCk69jf4cp7eGeWQMilE,audio_features,spotify:track:3KcCk69jf4cp7eGeWQMilE,0.183,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'rap']",77,2nkHPk6e7TgemWh07yFHxh,[],80,2011-11-15
7,54,7DhFKwUjPYZqH0IuqOCEPP,73sIBHcqh3Z3NyqHKZ7FOL,2nkHPk6e7TgemWh07yFHxh,You See Me,Childish Gambino,Camp,0.0477,https://api.spotify.com/v1/audio-analysis/7DhFKwUjPYZqH0IuqOCEPP,0.596,195373,0.803,7DhFKwUjPYZqH0IuqOCEPP,0.0,2,0.0831,-6.684,1,0.638,76.02,4,https://api.spotify.com/v1/tracks/7DhFKwUjPYZqH0IuqOCEPP,audio_features,spotify:track:7DhFKwUjPYZqH0IuqOCEPP,0.696,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'rap']",77,2nkHPk6e7TgemWh07yFHxh,[],80,2011-11-15
8,84,2wAJTrFhCnQyNSD3oUgTZO,6l3HvQ5sa6mXTsMTB19rO5,0fhmJYVhW0e4i33pCLPA5i,Work Out,J. Cole,Cole World: The Sideline Story,0.0531,https://api.spotify.com/v1/audio-analysis/2wAJTrFhCnQyNSD3oUgTZO,0.831,235320,0.427,2wAJTrFhCnQyNSD3oUgTZO,0.0,2,0.307,-6.903,1,0.106,93.004,4,https://api.spotify.com/v1/tracks/2wAJTrFhCnQyNSD3oUgTZO,audio_features,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,0.216,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0fhmJYVhW0e4i33pCLPA5i,[],77,2011-09-27
9,72,3mTpegrOwRn0oJjv4TSbEE,6l3HvQ5sa6mXTsMTB19rO5,0fhmJYVhW0e4i33pCLPA5i,Can't Get Enough,J. Cole,Cole World: The Sideline Story,0.139,https://api.spotify.com/v1/audio-analysis/3mTpegrOwRn0oJjv4TSbEE,0.768,225960,0.62,3mTpegrOwRn0oJjv4TSbEE,0.0,2,0.521,-7.399,1,0.0658,132.035,4,https://api.spotify.com/v1/tracks/3mTpegrOwRn0oJjv4TSbEE,audio_features,spotify:track:3mTpegrOwRn0oJjv4TSbEE,0.589,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0fhmJYVhW0e4i33pCLPA5i,[],77,2011-09-27
