,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,88,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,Mr. Brightside,The Killers,Hot Fuss,0.00121,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,0.352,222973,0.911,003vvx7Niy0yvhvHt4a68B,0.0,1,0.0995,-5.23,1,0.0747,148.033,4,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,audio_features,spotify:track:003vvx7Niy0yvhvHt4a68B,0.236,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
1,82,6PwjJ58I4t7Mae9xfZ9l9v,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,Somebody Told Me,The Killers,Hot Fuss,9.04e-05,https://api.spotify.com/v1/audio-analysis/6PwjJ58I4t7Mae9xfZ9l9v,0.497,197200,0.97,6PwjJ58I4t7Mae9xfZ9l9v,0.000674,10,0.101,-4.851,0,0.0836,138.081,4,https://api.spotify.com/v1/tracks/6PwjJ58I4t7Mae9xfZ9l9v,audio_features,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,0.689,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
2,74,5vollujufHY0jMZxx77VWr,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,All These Things That I've Done,The Killers,Hot Fuss,0.00245,https://api.spotify.com/v1/audio-analysis/5vollujufHY0jMZxx77VWr,0.539,301867,0.702,5vollujufHY0jMZxx77VWr,2.37e-05,6,0.117,-7.291,1,0.0436,118.106,4,https://api.spotify.com/v1/tracks/5vollujufHY0jMZxx77VWr,audio_features,spotify:track:5vollujufHY0jMZxx77VWr,0.206,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
3,70,3KANrKOFYyAxfjQJHkgBdb,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,Smile Like You Mean It,The Killers,Hot Fuss,0.000461,https://api.spotify.com/v1/audio-analysis/3KANrKOFYyAxfjQJHkgBdb,0.346,234107,0.965,3KANrKOFYyAxfjQJHkgBdb,0.012,3,0.214,-4.255,0,0.146,125.043,4,https://api.spotify.com/v1/tracks/3KANrKOFYyAxfjQJHkgBdb,audio_features,spotify:track:3KANrKOFYyAxfjQJHkgBdb,0.384,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
4,64,60eVCXFCuw1WYswBuNZc4H,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,Jenny Was A Friend Of Mine,The Killers,Hot Fuss,0.000128,https://api.spotify.com/v1/audio-analysis/60eVCXFCuw1WYswBuNZc4H,0.542,243933,0.961,60eVCXFCuw1WYswBuNZc4H,0.00119,11,0.286,-5.606,1,0.0518,114.048,4,https://api.spotify.com/v1/tracks/60eVCXFCuw1WYswBuNZc4H,audio_features,spotify:track:60eVCXFCuw1WYswBuNZc4H,0.472,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
5,58,2N7TN76tLuTcdn9UlS8ADT,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,Change Your Mind,The Killers,Hot Fuss,0.000214,https://api.spotify.com/v1/audio-analysis/2N7TN76tLuTcdn9UlS8ADT,0.352,192000,0.961,2N7TN76tLuTcdn9UlS8ADT,4.58e-06,5,0.137,-4.192,1,0.0687,146.995,4,https://api.spotify.com/v1/tracks/2N7TN76tLuTcdn9UlS8ADT,audio_features,spotify:track:2N7TN76tLuTcdn9UlS8ADT,0.393,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
6,52,6BnY0YochAURSXSR3d5N7O,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,"Andy, You're A Star",The Killers,Hot Fuss,0.234,https://api.spotify.com/v1/audio-analysis/6BnY0YochAURSXSR3d5N7O,0.501,194080,0.528,6BnY0YochAURSXSR3d5N7O,0.00479,1,0.156,-5.835,0,0.0255,84.107,4,https://api.spotify.com/v1/tracks/6BnY0YochAURSXSR3d5N7O,audio_features,spotify:track:6BnY0YochAURSXSR3d5N7O,0.726,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
7,51,3OMw6qj95yhfeqBIdL0c1g,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,On Top,The Killers,Hot Fuss,0.0158,https://api.spotify.com/v1/audio-analysis/3OMw6qj95yhfeqBIdL0c1g,0.587,258933,0.906,3OMw6qj95yhfeqBIdL0c1g,0.0,1,0.119,-4.866,0,0.0382,126.987,4,https://api.spotify.com/v1/tracks/3OMw6qj95yhfeqBIdL0c1g,audio_features,spotify:track:3OMw6qj95yhfeqBIdL0c1g,0.717,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
8,49,4gAhDQjQT9rReQk5NoaiED,0C0XlULifJtAgn6ZNCW2eu,4piJq7R3gjUOxnYs6lDCTg,Midnight Show,The Killers,Hot Fuss,8.68e-05,https://api.spotify.com/v1/audio-analysis/4gAhDQjQT9rReQk5NoaiED,0.389,243293,0.933,4gAhDQjQT9rReQk5NoaiED,0.00973,3,0.0906,-5.17,0,0.0786,144.011,4,https://api.spotify.com/v1/tracks/4gAhDQjQT9rReQk5NoaiED,audio_features,spotify:track:4gAhDQjQT9rReQk5NoaiED,0.228,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",74,4piJq7R3gjUOxnYs6lDCTg,[],81,2004
9,83,5SkRLpaGtvYPhw02vZhQQ9,5K4W6rqBFWDnAN6FQUkS6x,4Uv86qWpGTxf7fU7lG5X6F,All Falls Down,Kanye West,The College Dropout,0.149,https://api.spotify.com/v1/audio-analysis/5SkRLpaGtvYPhw02vZhQQ9,0.657,223507,0.734,5SkRLpaGtvYPhw02vZhQQ9,0.0,8,0.139,-4.832,0,0.484,91.03,4,https://api.spotify.com/v1/tracks/5SkRLpaGtvYPhw02vZhQQ9,audio_features,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,0.434,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",89,4Uv86qWpGTxf7fU7lG5X6F,[],80,2004-02-10
