,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,88,7D0RhFcb3CrfPuTJ0obrod,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Sparks,Coldplay,Parachutes,0.748,https://api.spotify.com/v1/audio-analysis/7D0RhFcb3CrfPuTJ0obrod,0.371,227093,0.268,7D0RhFcb3CrfPuTJ0obrod,0.0517,1,0.104,-10.506,1,0.0281,102.617,3,https://api.spotify.com/v1/tracks/7D0RhFcb3CrfPuTJ0obrod,audio_features,spotify:track:7D0RhFcb3CrfPuTJ0obrod,0.165,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
1,91,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Yellow,Coldplay,Parachutes,0.00239,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,0.429,266773,0.661,3AJwUDP919kvQ9QcozQPxg,0.000121,11,0.234,-7.227,1,0.0281,173.372,4,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,audio_features,spotify:track:3AJwUDP919kvQ9QcozQPxg,0.285,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
2,74,2QhURnm7mQDxBb5jWkbDug,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Don't Panic,Coldplay,Parachutes,0.206,https://api.spotify.com/v1/audio-analysis/2QhURnm7mQDxBb5jWkbDug,0.602,136867,0.612,2QhURnm7mQDxBb5jWkbDug,0.00607,0,0.107,-8.409,1,0.0335,122.062,4,https://api.spotify.com/v1/tracks/2QhURnm7mQDxBb5jWkbDug,audio_features,spotify:track:2QhURnm7mQDxBb5jWkbDug,0.453,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
3,75,0R8P9KfGJCDULmlEoBagcO,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Trouble,Coldplay,Parachutes,0.189,https://api.spotify.com/v1/audio-analysis/0R8P9KfGJCDULmlEoBagcO,0.565,273427,0.546,0R8P9KfGJCDULmlEoBagcO,0.0015,11,0.17,-7.496,0,0.0314,139.757,4,https://api.spotify.com/v1/tracks/0R8P9KfGJCDULmlEoBagcO,audio_features,spotify:track:0R8P9KfGJCDULmlEoBagcO,0.195,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
4,69,0qksx8mV28lztYIZ1om8ml,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Shiver,Coldplay,Parachutes,0.0334,https://api.spotify.com/v1/audio-analysis/0qksx8mV28lztYIZ1om8ml,0.396,304200,0.803,0qksx8mV28lztYIZ1om8ml,0.0,4,0.0688,-6.186,1,0.0487,116.705,3,https://api.spotify.com/v1/tracks/0qksx8mV28lztYIZ1om8ml,audio_features,spotify:track:0qksx8mV28lztYIZ1om8ml,0.286,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
5,64,5TB6QgrF0RPIxSCGfRDLoe,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,We Never Change,Coldplay,Parachutes,0.535,https://api.spotify.com/v1/audio-analysis/5TB6QgrF0RPIxSCGfRDLoe,0.433,249400,0.288,5TB6QgrF0RPIxSCGfRDLoe,0.000169,6,0.105,-10.801,0,0.0296,136.939,3,https://api.spotify.com/v1/tracks/5TB6QgrF0RPIxSCGfRDLoe,audio_features,spotify:track:5TB6QgrF0RPIxSCGfRDLoe,0.131,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
6,64,2DHgvPQD1jApRnT1DBZdrS,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,High Speed,Coldplay,Parachutes,0.396,https://api.spotify.com/v1/audio-analysis/2DHgvPQD1jApRnT1DBZdrS,0.495,256467,0.525,2DHgvPQD1jApRnT1DBZdrS,0.00736,7,0.0961,-9.342,0,0.0301,154.466,4,https://api.spotify.com/v1/tracks/2DHgvPQD1jApRnT1DBZdrS,audio_features,spotify:track:2DHgvPQD1jApRnT1DBZdrS,0.249,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
7,62,4qzoHxgp42ylb18ga1SWTL,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Parachutes,Coldplay,Parachutes,0.871,https://api.spotify.com/v1/audio-analysis/4qzoHxgp42ylb18ga1SWTL,0.555,46200,0.0845,4qzoHxgp42ylb18ga1SWTL,2.27e-06,4,0.138,-18.348,1,0.0518,137.001,4,https://api.spotify.com/v1/tracks/4qzoHxgp42ylb18ga1SWTL,audio_features,spotify:track:4qzoHxgp42ylb18ga1SWTL,0.375,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
8,61,2mLgOcRkEgq89j8WstUpui,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Spies,Coldplay,Parachutes,0.0236,https://api.spotify.com/v1/audio-analysis/2mLgOcRkEgq89j8WstUpui,0.309,318773,0.673,2mLgOcRkEgq89j8WstUpui,0.000144,1,0.0635,-5.524,0,0.0319,147.599,4,https://api.spotify.com/v1/tracks/2mLgOcRkEgq89j8WstUpui,audio_features,spotify:track:2mLgOcRkEgq89j8WstUpui,0.0732,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
9,61,1RNtm45kw0hPMBz7gKiIYu,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Everything's Not Lost - Includes Hidden Track 'Life Is For Living',Coldplay,Parachutes,0.104,https://api.spotify.com/v1/audio-analysis/1RNtm45kw0hPMBz7gKiIYu,0.374,436440,0.456,1RNtm45kw0hPMBz7gKiIYu,0.000176,6,0.197,-7.35,0,0.0368,135.643,4,https://api.spotify.com/v1/tracks/1RNtm45kw0hPMBz7gKiIYu,audio_features,spotify:track:1RNtm45kw0hPMBz7gKiIYu,0.0763,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",86,6ZG5lRT77aJ3btmArcykra,[],86,2000-07-10
