,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,90,68Dni7IE4VyPkTOH9mRWHr,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,No Role Modelz,J. Cole,2014 Forest Hills Drive,0.324,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,0.69,292799,0.521,68Dni7IE4VyPkTOH9mRWHr,0.0,10,0.0534,-8.492,0,0.339,100.028,4,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,audio_features,spotify:track:68Dni7IE4VyPkTOH9mRWHr,0.494,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
1,86,4tqcoej1zPvwePZCzuAjJd,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,Wet Dreamz,J. Cole,2014 Forest Hills Drive,0.0697,https://api.spotify.com/v1/audio-analysis/4tqcoej1zPvwePZCzuAjJd,0.495,239267,0.722,4tqcoej1zPvwePZCzuAjJd,0.0,6,0.113,-8.108,0,0.357,175.627,4,https://api.spotify.com/v1/tracks/4tqcoej1zPvwePZCzuAjJd,audio_features,spotify:track:4tqcoej1zPvwePZCzuAjJd,0.539,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
2,79,2e3Ea0o24lReQFR4FA7yXH,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,Love Yourz,J. Cole,2014 Forest Hills Drive,0.589,https://api.spotify.com/v1/audio-analysis/2e3Ea0o24lReQFR4FA7yXH,0.677,211497,0.638,2e3Ea0o24lReQFR4FA7yXH,0.0,8,0.193,-8.631,1,0.333,82.81,4,https://api.spotify.com/v1/tracks/2e3Ea0o24lReQFR4FA7yXH,audio_features,spotify:track:2e3Ea0o24lReQFR4FA7yXH,0.435,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
3,75,0Thqjtu54vKMP06pwZkAWp,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,G.O.M.D,J. Cole,2014 Forest Hills Drive,0.322,https://api.spotify.com/v1/audio-analysis/0Thqjtu54vKMP06pwZkAWp,0.889,301064,0.4,0Thqjtu54vKMP06pwZkAWp,1.32e-05,4,0.331,-10.586,0,0.26,128.073,4,https://api.spotify.com/v1/tracks/0Thqjtu54vKMP06pwZkAWp,audio_features,spotify:track:0Thqjtu54vKMP06pwZkAWp,0.336,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
4,71,5O59s7bCgTFsXDXlWecyQ1,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,Apparently,J. Cole,2014 Forest Hills Drive,0.605,https://api.spotify.com/v1/audio-analysis/5O59s7bCgTFsXDXlWecyQ1,0.802,292865,0.544,5O59s7bCgTFsXDXlWecyQ1,0.0,5,0.102,-9.212,1,0.0686,133.992,4,https://api.spotify.com/v1/tracks/5O59s7bCgTFsXDXlWecyQ1,audio_features,spotify:track:5O59s7bCgTFsXDXlWecyQ1,0.57,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
5,68,52A8OAP8lTQKZCj4Rce92B,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,A Tale Of 2 Citiez,J. Cole,2014 Forest Hills Drive,0.553,https://api.spotify.com/v1/audio-analysis/52A8OAP8lTQKZCj4Rce92B,0.771,269721,0.536,52A8OAP8lTQKZCj4Rce92B,1.05e-06,11,0.294,-8.534,1,0.323,94.995,4,https://api.spotify.com/v1/tracks/52A8OAP8lTQKZCj4Rce92B,audio_features,spotify:track:52A8OAP8lTQKZCj4Rce92B,0.343,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
6,69,6LBpGdlukUARutol7VgWIS,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,January 28th,J. Cole,2014 Forest Hills Drive,0.242,https://api.spotify.com/v1/audio-analysis/6LBpGdlukUARutol7VgWIS,0.597,242698,0.568,6LBpGdlukUARutol7VgWIS,0.0,5,0.0838,-8.559,1,0.342,84.052,4,https://api.spotify.com/v1/tracks/6LBpGdlukUARutol7VgWIS,audio_features,spotify:track:6LBpGdlukUARutol7VgWIS,0.342,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
7,67,6sf35vqrEAN8fOFzrKmv9A,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,Fire Squad,J. Cole,2014 Forest Hills Drive,0.279,https://api.spotify.com/v1/audio-analysis/6sf35vqrEAN8fOFzrKmv9A,0.551,288123,0.755,6sf35vqrEAN8fOFzrKmv9A,0.0,11,0.508,-7.053,1,0.419,175.895,4,https://api.spotify.com/v1/tracks/6sf35vqrEAN8fOFzrKmv9A,audio_features,spotify:track:6sf35vqrEAN8fOFzrKmv9A,0.574,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
8,66,11qa6plS660rrrkf6VJ3cX,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,03’ Adolescence,J. Cole,2014 Forest Hills Drive,0.395,https://api.spotify.com/v1/audio-analysis/11qa6plS660rrrkf6VJ3cX,0.528,264213,0.811,11qa6plS660rrrkf6VJ3cX,0.0,1,0.274,-6.181,1,0.59,70.58,4,https://api.spotify.com/v1/tracks/11qa6plS660rrrkf6VJ3cX,audio_features,spotify:track:11qa6plS660rrrkf6VJ3cX,0.26,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
9,61,5dp2DNJtGuNjwgEtAN6BZd,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,St. Tropez,J. Cole,2014 Forest Hills Drive,0.0507,https://api.spotify.com/v1/audio-analysis/5dp2DNJtGuNjwgEtAN6BZd,0.63,257872,0.541,5dp2DNJtGuNjwgEtAN6BZd,0.0185,9,0.0659,-9.625,0,0.0692,84.524,4,https://api.spotify.com/v1/tracks/5dp2DNJtGuNjwgEtAN6BZd,audio_features,spotify:track:5dp2DNJtGuNjwgEtAN6BZd,0.317,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
10,59,7L3yLy4K5CI7AWK2DfAbTv,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,Hello,J. Cole,2014 Forest Hills Drive,0.0829,https://api.spotify.com/v1/audio-analysis/7L3yLy4K5CI7AWK2DfAbTv,0.656,219173,0.724,7L3yLy4K5CI7AWK2DfAbTv,1.17e-05,9,0.106,-8.432,0,0.208,159.991,4,https://api.spotify.com/v1/tracks/7L3yLy4K5CI7AWK2DfAbTv,audio_features,spotify:track:7L3yLy4K5CI7AWK2DfAbTv,0.318,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
11,58,05jQUgTm40hzAw5uqOy0ob,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,Intro,J. Cole,2014 Forest Hills Drive,0.858,https://api.spotify.com/v1/audio-analysis/05jQUgTm40hzAw5uqOy0ob,0.383,129154,0.263,05jQUgTm40hzAw5uqOy0ob,0.0551,2,0.101,-14.756,0,0.0507,85.84,4,https://api.spotify.com/v1/tracks/05jQUgTm40hzAw5uqOy0ob,audio_features,spotify:track:05jQUgTm40hzAw5uqOy0ob,0.0875,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
12,57,3U1mFf6W429eMYDwmgkbaZ,6l3HvQ5sa6mXTsMTB19rO5,0UMMIkurRUmkruZ3KGBLtG,Note To Self,J. Cole,2014 Forest Hills Drive,0.86,https://api.spotify.com/v1/audio-analysis/3U1mFf6W429eMYDwmgkbaZ,0.641,875307,0.456,3U1mFf6W429eMYDwmgkbaZ,0.0,8,0.171,-8.589,1,0.117,82.31,4,https://api.spotify.com/v1/tracks/3U1mFf6W429eMYDwmgkbaZ,audio_features,spotify:track:3U1mFf6W429eMYDwmgkbaZ,0.333,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,0UMMIkurRUmkruZ3KGBLtG,[],85,2014-12-09
