,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,90,6IPwKM3fUUzlElbvKw2sKl,3uwAm6vQy7kWPS2bciKWx9,7vud0sY43VTv28MbWiglDa,we fell in love in october,girl in red,we fell in love in october / October Passed Me By,0.113,https://api.spotify.com/v1/audio-analysis/6IPwKM3fUUzlElbvKw2sKl,0.566,184154,0.366,6IPwKM3fUUzlElbvKw2sKl,0.181,7,0.155,-12.808,1,0.028,129.96,4,https://api.spotify.com/v1/tracks/6IPwKM3fUUzlElbvKw2sKl,audio_features,spotify:track:6IPwKM3fUUzlElbvKw2sKl,0.237,3uwAm6vQy7kWPS2bciKWx9,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",74,7vud0sY43VTv28MbWiglDa,[],79,2018-11-21
1,67,5vFuoZLvUmAzzIiLSEhk0K,3uwAm6vQy7kWPS2bciKWx9,7vud0sY43VTv28MbWiglDa,forget her,girl in red,we fell in love in october / October Passed Me By,0.616,https://api.spotify.com/v1/audio-analysis/5vFuoZLvUmAzzIiLSEhk0K,0.532,143356,0.312,5vFuoZLvUmAzzIiLSEhk0K,0.666,2,0.0721,-16.787,1,0.034,148.968,4,https://api.spotify.com/v1/tracks/5vFuoZLvUmAzzIiLSEhk0K,audio_features,spotify:track:5vFuoZLvUmAzzIiLSEhk0K,0.506,3uwAm6vQy7kWPS2bciKWx9,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",74,7vud0sY43VTv28MbWiglDa,[],79,2018-11-21
2,79,5PjdC2gMATetx5xdnwGUu7,3uwAm6vQy7kWPS2bciKWx9,14cEutEbb3i2vDp3ZopdJf,i wanna be your girlfriend,girl in red,i wanna be your girlfriend,0.0215,https://api.spotify.com/v1/audio-analysis/5PjdC2gMATetx5xdnwGUu7,0.541,204991,0.382,5PjdC2gMATetx5xdnwGUu7,0.000836,7,0.304,-14.323,1,0.035,155.901,4,https://api.spotify.com/v1/tracks/5PjdC2gMATetx5xdnwGUu7,audio_features,spotify:track:5PjdC2gMATetx5xdnwGUu7,0.343,3uwAm6vQy7kWPS2bciKWx9,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",74,14cEutEbb3i2vDp3ZopdJf,[],68,2018-03-02
3,74,04OSnqlwlBJMvidYccraVz,3uwAm6vQy7kWPS2bciKWx9,0UvjTChu7cW8uJ6Cwp8173,girls,girl in red,girls,0.23,https://api.spotify.com/v1/audio-analysis/04OSnqlwlBJMvidYccraVz,0.518,198400,0.447,04OSnqlwlBJMvidYccraVz,0.0426,5,0.171,-14.461,1,0.0338,150.059,4,https://api.spotify.com/v1/tracks/04OSnqlwlBJMvidYccraVz,audio_features,spotify:track:04OSnqlwlBJMvidYccraVz,0.792,3uwAm6vQy7kWPS2bciKWx9,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",74,0UvjTChu7cW8uJ6Cwp8173,[],63,2018-06-08
4,70,75enpZYDT6k0PNKu6SJ4W5,3uwAm6vQy7kWPS2bciKWx9,5MBdFr25fkVqYMDCGWyvTT,4am,girl in red,4am,0.663,https://api.spotify.com/v1/audio-analysis/75enpZYDT6k0PNKu6SJ4W5,0.418,110862,0.392,75enpZYDT6k0PNKu6SJ4W5,0.335,9,0.204,-13.771,1,0.0383,168.902,4,https://api.spotify.com/v1/tracks/75enpZYDT6k0PNKu6SJ4W5,audio_features,spotify:track:75enpZYDT6k0PNKu6SJ4W5,0.295,3uwAm6vQy7kWPS2bciKWx9,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",74,5MBdFr25fkVqYMDCGWyvTT,[],59,2018-08-10
5,70,3SEZEyvEALlomED5xFeqOs,3uwAm6vQy7kWPS2bciKWx9,1zkm5i2BQpuDLJrIJy12VR,summer depression,girl in red,summer depression,0.645,https://api.spotify.com/v1/audio-analysis/3SEZEyvEALlomED5xFeqOs,0.693,151693,0.308,3SEZEyvEALlomED5xFeqOs,0.476,9,0.127,-15.635,1,0.0442,129.943,4,https://api.spotify.com/v1/tracks/3SEZEyvEALlomED5xFeqOs,audio_features,spotify:track:3SEZEyvEALlomED5xFeqOs,0.677,3uwAm6vQy7kWPS2bciKWx9,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",74,1zkm5i2BQpuDLJrIJy12VR,[],59,2018-03-03
6,83,6foY66mWZN0pSRjZ408c00,4oUHIQIBe0LHzYfvXNW4QM,1IR2nlwX6YVTXXeu2qzoWO,Whiskey Glasses,Morgan Wallen,If I Know Me,0.369,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,0.614,234347,0.68,6foY66mWZN0pSRjZ408c00,1.84e-06,6,0.115,-4.58,1,0.0289,149.959,4,https://api.spotify.com/v1/tracks/6foY66mWZN0pSRjZ408c00,audio_features,spotify:track:6foY66mWZN0pSRjZ408c00,0.707,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country'],85,1IR2nlwX6YVTXXeu2qzoWO,[],81,2018-04-27
7,82,5MwynWK9s4hlyKHqhkNn4A,4oUHIQIBe0LHzYfvXNW4QM,1IR2nlwX6YVTXXeu2qzoWO,Chasin' You,Morgan Wallen,If I Know Me,0.657,https://api.spotify.com/v1/audio-analysis/5MwynWK9s4hlyKHqhkNn4A,0.631,205453,0.591,5MwynWK9s4hlyKHqhkNn4A,0.0,7,0.11,-5.785,1,0.0277,97.074,4,https://api.spotify.com/v1/tracks/5MwynWK9s4hlyKHqhkNn4A,audio_features,spotify:track:5MwynWK9s4hlyKHqhkNn4A,0.489,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country'],85,1IR2nlwX6YVTXXeu2qzoWO,[],81,2018-04-27
8,77,21LRaD9rB3v7p7DDCZsW4y,4oUHIQIBe0LHzYfvXNW4QM,1IR2nlwX6YVTXXeu2qzoWO,The Way I Talk,Morgan Wallen,If I Know Me,0.0468,https://api.spotify.com/v1/audio-analysis/21LRaD9rB3v7p7DDCZsW4y,0.604,208280,0.879,21LRaD9rB3v7p7DDCZsW4y,0.0,4,0.0909,-3.388,1,0.0322,137.983,4,https://api.spotify.com/v1/tracks/21LRaD9rB3v7p7DDCZsW4y,audio_features,spotify:track:21LRaD9rB3v7p7DDCZsW4y,0.757,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country'],85,1IR2nlwX6YVTXXeu2qzoWO,[],81,2018-04-27
9,73,3EWMoDIm6lzuR0zQKtuCJX,4oUHIQIBe0LHzYfvXNW4QM,1IR2nlwX6YVTXXeu2qzoWO,Up Down (feat. Florida Georgia Line),Morgan Wallen,If I Know Me,0.0813,https://api.spotify.com/v1/audio-analysis/3EWMoDIm6lzuR0zQKtuCJX,0.589,197253,0.882,3EWMoDIm6lzuR0zQKtuCJX,0.0,6,0.146,-3.039,1,0.035,129.915,4,https://api.spotify.com/v1/tracks/3EWMoDIm6lzuR0zQKtuCJX,audio_features,spotify:track:3EWMoDIm6lzuR0zQKtuCJX,0.793,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country'],85,1IR2nlwX6YVTXXeu2qzoWO,[],81,2018-04-27
