,track_popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,acousticness,analysis_url,danceability,duration_ms,energy,id_x,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,id_y,genres_x,popularity_x,id,genres_y,popularity_y,release_date
0,87,1DIXPcTDzTj8ZMHt3PDt8p,3y24n3XhZ96wgwRXjvS17T,0BJYNipGyMrw4ngKDJXzXZ,Gangsta's Paradise,Coolio,Gangsta's Paradise,0.0655,https://api.spotify.com/v1/audio-analysis/1DIXPcTDzTj8ZMHt3PDt8p,0.647,240693,0.514,1DIXPcTDzTj8ZMHt3PDt8p,0.0,8,0.398,-10.05,1,0.0593,79.975,4,https://api.spotify.com/v1/tracks/1DIXPcTDzTj8ZMHt3PDt8p,audio_features,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,0.386,3y24n3XhZ96wgwRXjvS17T,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",66,0BJYNipGyMrw4ngKDJXzXZ,[],77,1995-11-07
1,50,2wPjoNKQAfEdgEYrPIBwAD,3y24n3XhZ96wgwRXjvS17T,6J5bh0XtpMx4ClNfLqKv0H,"1, 2, 3, 4 (Sumpin' New)",Coolio,Gangsta's Paradise,0.296,https://api.spotify.com/v1/audio-analysis/2wPjoNKQAfEdgEYrPIBwAD,0.904,213920,0.747,2wPjoNKQAfEdgEYrPIBwAD,0.00286,1,0.322,-7.218,0,0.157,115.181,4,https://api.spotify.com/v1/tracks/2wPjoNKQAfEdgEYrPIBwAD,audio_features,spotify:track:2wPjoNKQAfEdgEYrPIBwAD,0.61,3y24n3XhZ96wgwRXjvS17T,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",66,6J5bh0XtpMx4ClNfLqKv0H,[],47,1995-11-07
2,80,5QLHGv0DfpeXLNFo7SFEy1,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),0.0163,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,0.767,266200,0.787,5QLHGv0DfpeXLNFo7SFEy1,0.583,3,0.0513,-9.897,1,0.0331,126.879,4,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,audio_features,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,0.964,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
3,76,6GtX0jaNL8IjVQfrDBx81z,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),5.59e-05,https://api.spotify.com/v1/audio-analysis/6GtX0jaNL8IjVQfrDBx81z,0.404,258467,0.72,6GtX0jaNL8IjVQfrDBx81z,0.836,10,0.0466,-9.18,0,0.0623,121.864,4,https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z,audio_features,spotify:track:6GtX0jaNL8IjVQfrDBx81z,0.475,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
4,71,4YFcGTdgmEuw8xTO4XrxbB,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Zero - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),3.49e-05,https://api.spotify.com/v1/audio-analysis/4YFcGTdgmEuw8xTO4XrxbB,0.438,160173,0.728,4YFcGTdgmEuw8xTO4XrxbB,0.57,8,0.0509,-7.105,1,0.0458,128.04,4,https://api.spotify.com/v1/tracks/4YFcGTdgmEuw8xTO4XrxbB,audio_features,spotify:track:4YFcGTdgmEuw8xTO4XrxbB,0.701,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
5,69,7bu0znpSbTks0O6I98ij0W,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),6.28e-05,https://api.spotify.com/v1/audio-analysis/7bu0znpSbTks0O6I98ij0W,0.277,254627,0.67,7bu0znpSbTks0O6I98ij0W,0.751,6,0.237,-9.381,1,0.0376,148.342,4,https://api.spotify.com/v1/tracks/7bu0znpSbTks0O6I98ij0W,audio_features,spotify:track:7bu0znpSbTks0O6I98ij0W,0.217,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
6,61,7zwwvrJAWGjfc9wFD3bVzZ,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Cupid De Locke - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),0.000229,https://api.spotify.com/v1/audio-analysis/7zwwvrJAWGjfc9wFD3bVzZ,0.4,170280,0.677,7zwwvrJAWGjfc9wFD3bVzZ,0.396,8,0.119,-10.971,1,0.0336,183.614,4,https://api.spotify.com/v1/tracks/7zwwvrJAWGjfc9wFD3bVzZ,audio_features,spotify:track:7zwwvrJAWGjfc9wFD3bVzZ,0.393,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
7,55,6Mc4bMZVQb13wayZbUPtuW,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Pennies - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),0.0123,https://api.spotify.com/v1/audio-analysis/6Mc4bMZVQb13wayZbUPtuW,0.65,150080,0.736,6Mc4bMZVQb13wayZbUPtuW,0.639,9,0.119,-8.712,1,0.0257,119.035,4,https://api.spotify.com/v1/tracks/6Mc4bMZVQb13wayZbUPtuW,audio_features,spotify:track:6Mc4bMZVQb13wayZbUPtuW,0.56,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
8,55,1fPKWu8NKS1ZGHjFZ5QCAs,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,Thirty-Three - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),0.000968,https://api.spotify.com/v1/audio-analysis/1fPKWu8NKS1ZGHjFZ5QCAs,0.607,250293,0.333,1fPKWu8NKS1ZGHjFZ5QCAs,0.4,6,0.151,-12.717,1,0.0324,126.619,4,https://api.spotify.com/v1/tracks/1fPKWu8NKS1ZGHjFZ5QCAs,audio_features,spotify:track:1fPKWu8NKS1ZGHjFZ5QCAs,0.0802,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
9,53,428dyogxbsqj9U5leQ9why,40Yq4vzPs9VNUrIBG5Jr2i,55RhFRyQFihIyGf61MgcfV,To Forgive - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),0.0208,https://api.spotify.com/v1/audio-analysis/428dyogxbsqj9U5leQ9why,0.579,257267,0.314,428dyogxbsqj9U5leQ9why,0.761,1,0.111,-12.589,1,0.0267,126.746,4,https://api.spotify.com/v1/tracks/428dyogxbsqj9U5leQ9why,audio_features,spotify:track:428dyogxbsqj9U5leQ9why,0.0512,40Yq4vzPs9VNUrIBG5Jr2i,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",70,55RhFRyQFihIyGf61MgcfV,[],76,1995
